,Nom,Activite_principale,Adresse,Ville,Telephone,Detail,Lien_entreprise,Facebook,Linkedin,Autre_lien,Lien_europage
0,CONCEPT FRUITS,Fabricant/Producteur,ZA Les Priaux,07430 Vernosc-Les-Annonay,+33 475670863,"Basée au cœur des Monts de l’Ardèche, CONCEPT FRUITS est une société spécialisée dans la transformation des châtaignes et marrons depuis 1975. Elle appartient au Groupe ROGER DESCOURS, leader français et principal acteur européen dans l’industrie du fruit surgelé. Grâce à un approvisionnement en châtaignes auprès des meilleures producteurs Concept Fruits s’appuie sur une équipe de professionnels experts dans la transformation du fruit.Nous vous proposons une gamme indispensable de préparations à base de châtaignes destinés aux professionnels de la restauration et aux industries agroalimentaires : • Crème de marrons• Pâte de marrons• Purée de marrons• Marrons au sirop CONCEPT FRUITS vous propose des recettes de crèmes et purées de marrons à la saveur authentique selon les recettes traditionnelles de l'Ardèche pour une cuisine traditionnelle et généreuse.- Des ingrédients 100% naturels, sans arôme, sans conservateur, sans colorant- Une crème de Marrons 100% « CLEAN LABEL » sans présence de sirop de glucose- Une pâte de Marrons avec un goût prononcé de châtaigne, peu sucrée et non vanillée- Une purée de Marrons disponible en poche Doypack pour une utilisation facile et rapide- Des Marrons au sirop naturels pour une utilisation multiple : en décoration, en morceaux en garniturePour la transformation de marrons issus de l’Agriculture Biologique, la société a reçu l’agrément ECOCERT FR-BIO-01.Concept Fruits est également certifié IFS et BRC.  ",https://www.rogerdescours.fr/,https://www.facebook.com/Roger-Descours-By-Concept-Fruits-110832647888959,,,https://www.europages.fr/CONCEPT-FRUITS/FRA140402-00101.html
1,MILLBAKER SAS,Fabricant/Producteur,Zi La Fonderie,10700 Torcy Le Petit,+33 325377937,"Entreprise 100% française basée en Champagne, Millbäker conçoit et fabrique des solutions ingrédients pour les professionnels de la panification et se positionne comme un expert de la filière blé-farine-pain.Notre objectif : révéler le potentiel et les richesses gustatives, nutritionnelles et technologiques de chaque ingrédient. Découvrez une large gamme de produits dédiés à la BVP : correcteurs de meunerie, améliorants de panification, mixes et prémixes, inclusions. Ils sont tous élaborés au sein du Technical Centre, véritable laboratoire d’innovation. Ces produits sont en grande majorité formulés sur-mesure et répondent à un cahier des charges particulier. L’entreprise crée également une gamme de produits diététiques et plaisir afin d’anticiper les besoins du consommateur de demain.Millbäker met à votre disposition son savoir-faire innovant sur la germination des céréales, afin de vous proposer une gamme complète de graines germées au levain. ",https://www.millbaker.com/fr/,https://www.facebook.com/pages/category/Industrial-Company/Millb%C3%A4ker-544562128919995/,https://www.linkedin.com/company/millb%C3%A4ker-sas,,https://www.europages.fr/MILLBAKER-SAS/00000004683225-483522001.html
2,ETIKTECH,Fabricant/Producteur,5 Place De La Pyramide,92800 Puteaux,+33 177627064,"Etiktech, implantée en France et bénéficiant de plus de 30 ans d'expérience, est un acteur dynamique dans le domaine de l'impression d'étiquettes adhésives, d'emballages souples et de la vente d'imprimantes thermiques. Grâce à ses activités, elle touche tous les secteurs industriels et est axée sur l'innovation technologique et l'amélioration continue de ses processus de production. Avec un parc de machines à la pointe de la technologie, Etiktech garantit une qualité optimale de ses produits sur le marché français ainsi qu'à l'international.Le service pré-presse d'Etiktech offre une gestion complète des projets de ses clients grâce aux dernières techniques digitales de traitement et de développement d'images, comprenant la déclinaison, la retouche, la reproduction et le développement.Le service de production dispose d'un parc machine varié permettant un large choix de procédés techniques tels que la flexographie, la typographie et la sérigraphie.Enfin, le service commercial accompagne les clients à toutes les étapes de leurs projets en s'adaptant à leurs besoins et à leurs budgets.N'hésitez pas à nous contacter pour plus d'informations !",https://www.etiktech.fr/,,https://fr.linkedin.com/company/etiktech,,https://www.europages.fr/ETIKTECH/00000005499585-001.html
3,EI MINET JOH CLEAN SERVICE,Prestataire de services,15 AVENUE JEAN LEBAS,59100 Roubaix,+33 374280272,"Depuis 2022, la société EI MINET JOH CLEAN SERVICE est spécialisée dans les services de nettoyage, de propreté et d’hygiène des locaux d’entreprises et particuliers. Situés à Roubaix, nous offrons une gamme complète de services professionnels pour divers secteurs d'activité. Chaque client est unique et chaque mission est différente.Notre équipe dynamique et motivée, composée de professionnels, met tout son savoir-faire en nettoyage à votre disposition. Nous établissons un devis détaillé et gratuit avant toute prestation.Besoin d'un nettoyage de printemps ? Nous sommes là pour vous aider, même en l'absence de femme de ménage. Contactez-nous pour une solution temporaire ou régulière adaptée à vos besoins. Nous proposons également nos services en Belgique.N'hésitez pas à nous contacter pour plus d'informations ! ",https://www.johcleanservice.fr/,https://www.facebook.com/people/EI-Minet-Joh-clean-service/100083398115857/,,,https://www.europages.fr/EI-MINET-JOH-CLEAN-SERVICE/00000005492866-001.html
4,"REAPSE CONSULTING, CONSEIL EN REALITE AUGMENTEE",Prestataire de services,6-8 avenue de Creil,60300 Senlis,+33 625705366,"REAPSE CONSULTING est une société de conseil spécialisée dans les technologies immersives. Elle aide les entreprises à mettre en œuvre des projets de Réalité Augmentée (RA) et de Réalité Mixte (RM). REAPSE CONSULTING propose des services de consultant aux entreprises qui souhaitent mettre en place des solutions de réalité augmentée et réalité mixte basées sur des smartphones, des tablettes ou des lunettes connectées.Grâce à une bonne connaissance du marché de la RA et de son écosystème matériel et logiciel, nous offrons une approche totalement indépendante et sur mesure pour permettre de déployer ces solutions dans l'univers industriel, dans les secteurs du marketing et du commerce, du tourisme, de la santé et de l’éducation/formation.Nos offres de services : - définition de la stratégie en technologies immersives- audit : faire un état des lieux de l’organisation, analyser les besoins réels et les contraintes- définition du projet : finaliser l’idée, transformer l’idée en mode projet, faire adhérer les ressources en interne- identification des prestataires : trouver et tester les différents partenaires, les logiciels les plus adaptés, sourcer les matériels appropriés (lunettes)- documentation : formaliser le projet- supervision : aide à la mise en place d’un prototype- déploiement : accompagner l’exécution du projetREAPSE CONSULTING vous conseille et vous aide à prendre les meilleures décisions dans vos projets de réalité augmentée et de réalité mixte. ",https://reapse-consulting.com/fr/,,https://www.linkedin.com/company/reapse-consulting/about/,,https://www.europages.fr/REAPSE-CONSULTING-CONSEIL-EN-REALITE-AUGMENTEE/00000005482556-001.html
5,ENERGICIA,Prestataire de services,47 B rue de Zurich,76600 Le Havre,+33 235244698,"Energicia est une entreprise d'ingénierie spécialisée en thermique et fluide du bâtiment. Nous étudions votre projet pour vous proposer des solutions techniques correspondant à vos attentes. Nous intervenons en amont et en aval sur des projets de rénovation de bâtiments individuels, de bâtiments d’habitation collectifs et dans les secteurs tertiaires et industriels. Energicia intervient également sur des projets de constructions neuves en proposant à ses clients des solutions nouvelles pour dépasser les différentes contraintes de leurs projets. Facture énergétique trop élevée ou sensation d'inconfort ? Energicia vous propose des préconisations pour garantir votre confort thermique hivernal et estival tout en réalisant des économies. Missions confiées à notre entreprise : Audit énergétique, Diagnostic technique, Assistance à maîtrise d’ouvrage (AMO), ...",https://www.facebook.com/energicia/,,,,https://www.europages.fr/ENERGICIA/00000005408192-742525001.html
6,WÜRTH INDUSTRIE FRANCE,Distributeur,1 rue de Rome,67150 Erstein Cedex,+33 390406310,"Grâce à une gamme de plus d'1.000.000 de références et un ensemble de solutions logistiques, d'approvisionnement et de gestion des stocks adaptées à tous vos éléments de fixation pour la production ainsi que les produits pour les domaines MRO, WÜRTH INDUSTRIE FRANCE est le partenaire idéal dans le domaine industriel. Notre point fort : cette gamme étendue de produits est soutenue par des services logistiques, de livraison, d’approvisionnement et de gestion des stocks.  Optez pour des solutions modulables selon votre activité et réduisez vos coûts indirects tout en optimisant votre temps lié à la gestion des pièces C.  Würth Industrie France a vu le jour le 1er avril 2003 en tant que société indépendante au sein du Groupe Würth, leader mondial des produits de fixation et d'assemblage. Son siège social est basé à Erstein, en Alsace.",https://www.wurth-industrie.fr/web/fr/wif/wurth_industrie_france.php?utm_source=europages&utm_medium=referral&utm_campaign=europages_lien&pk_source=europages&pk_medium=referral&pk_campaign=europages_lien,,,,https://www.europages.fr/WURTH-INDUSTRIE-FRANCE/00000005427476-764914001.html
7,KSG FRANCE,Fabricant/Producteur,765 allée des artisans,01310 Saint Rémy,+33 966945804,"KSG France est le leader en France et dans les pays francophones du matériel de nettoyage vapeur sèche pour les utilisateurs professionnels et industriels. KSG propose une gamme unique de nettoyeurs vapeur puissants et fiables grâce a son expérience de 20 ans dans le domaine du nettoyage et de la vapeur sèche. Des générateurs de vapeur mobiles a partir de 2 KW jusqu’à 72 KW pour toutes les applications de nettoyage et de désinfection. La gamme KHD permet d'automatiser les opérations pour une garantie d’efficacité optimisée. De véritables robots de nettoyage vapeur sèche permettent d'automatiser les opérations de nettoyage et de désinfection en IAA.Nettoyage des convoyeurs avec des tapis lisses ou des tapis à mailles ajourées. Désinfection des surface au contact d'une température élevée supérieure a 110°, gain de temps et maitrise des effluents.Nos clients utilisateurs sont les collectivités, professionnels du nettoyage, industries agroalimentaires, industrie mécanique, industrie manufacturière, base de stockage logistique, aéronautique, pharmaceutique... N'hésitez pas a nous contacter pour une étude ou un renseignement, notre réseau de distributeur agrée est disponible en France, et à l'export: Guadeloupe, Réunion, Magreb, Tahiti...",http://www.ksg-france.fr,,,,https://www.europages.fr/KSG-FRANCE/00000004737724-588316001.html
8,GEMESYS,Prestataire de services,175 avenue Saint Maurice,34250 Palavas Les Flots,+33 782414883,"Bureau d’études et d’ingénierie, la société GEMESYS est née de l’association d’un ingénieur et d’un docteur spécialisés en mécanique. De par leurs expériences, GEMESYS bénéficie de solides compétences dans de nombreux domaines : aéronautique et transports, industrie, agriculture, recherche, … Cette polyvalence technique offre à la société un large champ d’actions pour vous proposer des solutions sur mesure, innovantes et compétitives. Les prestations de GEMESYS s’étendent d’un support ponctuel aux entreprises surchargées, à la gestion de projets dans leur intégralité. Outre ses domaines de prédilection, la maîtrise des outils de conception, de simulation ou de calcul fait de GEMESYS un partenaire apprécié dans tous les secteurs faisant appel à des applications mécaniques. La société tire parti de l’expérience de ses fondateurs pour proposer des solutions innovantes répondant à tous vos besoins spécifiques. Quel que soit le champ d’activité, GEMESYS intervient dans le développement et la fourniture tant de produits uniques (prototypes, bancs d’essais, machines spéciales, outillages, …) que de petites et moyennes série. Ses compétences dans le domaine expérimental lui permettent d’assurer le pilotage et l’analyse de tests mécaniques (statique, dynamiques, vibratoire, fatigue, thermique, hydraulique, …) Structure pluridisciplinaire, GEMESYS peut prendre en charge les études en interne comme en détachant directement des collaborateurs et leur matériel dans votre entreprise",http://www.gemesys.fr,,,,https://www.europages.fr/GEMESYS/00000005266573-580536001.html
9,LA BRIQUETERIE TELLUS-CERAM,Fabricant/Producteur,Rue Beausoleil,47500 Monsempron Libos,+33 553711301,"La Briqueterie Tellus-Ceram fabrique et distribue en toute autonomie des matériaux réfractaires de haute qualité (de 1300°C à 1850°C) sur son site de Monsempron-Libos en France. Avec 106 ans d'expérience, notre service R&D ainsi que notre bureau d'étude à couvert l'ensemble des secteurs industriels. La Briqueterie Tellus-Ceram a gagné la confiance des plus grands groupes internationaux comme St Gobain, Verallia, Rio Tinto, Villeroy & Boch, grâce à sa capacité à développer la meilleure solution pour ses clients. La Briqueterie Tellus-Ceram fabrique une large gamme de réfractaires, de la brique standard aux grands formats de dalles (maxi 800x500x125) en passant par les colles, ciments, bétons et mortiers réfractaires denses ou isolants. Notre bureau d'étude ainsi que notre service qualité sauront répondre à vos exigences. Produits & Services: - Briques et dalles réfractaires isolantes - Ciments/ Colles/ Mortiers/ Bétons réfractaires - Pièces de formes denses et isolantes - Drilok denses et isolants - Wagons pour fours tunnels - Services de pré-montage - Bureau d'études - BTC - Etc...",http://www.tellus-ing.com,,,,https://www.europages.fr/LA-BRIQUETERIE-TELLUSCERAM/00000004738472-535895001.html
